row, course, years_open, diss_doce_year, tese_doce_year, peri_doce_year, weight_a1, weight_a2, weight_b1, weight_b2, weight_b3, weight_b4, weight_b5, weight_c, weight_nc, qual_doce_year, conf_doce_year, livr_doce_year, capi_doce_year,arti_doce_year,has_phd,is_academic,level
1,admin_ciencontabeis_tur,3.0,0.666666666667,0.666666666667,3.0,9.0,20.25,53.4,35.1,29.1,10.5,7.2,7.77,0.67,0.0,8.33333333333,0.0,0.0,0.333333333333,true,true,sete
2,admin_ciencontabeis_tur,3.0,0.666666666667,0.0,1.33333333333,1.8,5.25,17.4,10.35,6.6,4.75,0.6,0.63,0.13,0.0,4.66666666667,0.0,0.0,0.333333333333,true,true,seis
3,admin_ciencontabeis_tur,3.0,0.333333333333,0.333333333333,2.0,1.8,6.0,27.6,13.95,8.7,3.0,1.0,0.7,0.16,0.0,5.33333333333,0.0,0.0,0.333333333333,true,true,seis
4,admin_ciencontabeis_tur,3.0,2.33333333333,0.0,1.33333333333,2.7,4.5,9.6,7.65,3.6,0.0,0.2,0.63,0.0,0.0,4.33333333333,0.0,0.0,0.333333333333,false,true,cinco
5,admin_ciencontabeis_tur,3.0,1.0,0.0,1.0,0.0,15.75,15.0,8.55,2.7,1.0,0.5,0.21,0.07,0.0,3.0,0.0,0.333333333333,0.0,true,true,cinco
6,admin_ciencontabeis_tur,3.0,1.33333333333,0.0,1.0,0.0,17.25,15.0,8.55,2.7,0.75,0.3,0.21,0.07,0.0,2.66666666667,0.0,0.333333333333,0.0,false,true,cinco
7,admin_ciencontabeis_tur,3.0,2.0,0.0,1.0,1.8,1.5,7.2,4.95,3.6,1.5,0.1,1.33,0.03,0.0,2.33333333333,0.0,0.0,0.0,false,true,cinco
8,admin_ciencontabeis_tur,3.0,1.66666666667,0.0,1.33333333333,0.0,1.5,1.8,2.25,6.3,5.75,0.8,0.84,0.1,0.0,4.66666666667,0.0,0.0,0.0,true,true,cinco
9,admin_ciencontabeis_tur,3.0,0.666666666667,0.0,0.666666666667,0.0,1.5,6.0,3.6,4.8,1.25,0.1,0.49,0.03,0.0,2.66666666667,0.0,0.0,0.0,false,true,cinco
10,admin_ciencontabeis_tur,3.0,1.33333333333,0.0,1.66666666667,3.6,4.5,15.6,10.35,8.4,4.5,0.5,0.28,0.06,0.0,4.66666666667,0.0,0.0,0.333333333333,true,true,cinco
11,admin_ciencontabeis_tur,3.0,1.33333333333,0.0,1.0,8.1,25.5,13.2,5.4,1.5,1.25,0.1,0.42,0.05,0.0,1.66666666667,0.0,0.333333333333,0.0,true,true,cinco
12,admin_ciencontabeis_tur,3.0,0.333333333333,0.0,1.33333333333,1.8,6.75,12.6,7.2,3.6,1.75,0.4,0.7,0.17,0.0,2.66666666667,0.0,0.0,0.0,true,true,cinco
13,admin_ciencontabeis_tur,3.0,0.666666666667,0.0,1.33333333333,0.0,2.25,6.6,4.05,9.3,1.75,1.5,0.91,0.2,0.0,5.0,0.0,0.0,0.0,true,true,cinco
14,admin_ciencontabeis_tur,3.0,1.33333333333,0.0,1.0,3.6,5.25,8.4,7.2,1.2,1.75,0.7,0.77,0.1,0.0,3.66666666667,0.0,0.0,0.333333333333,true,true,cinco
15,admin_ciencontabeis_tur,3.0,1.66666666667,0.0,1.0,0.0,0.75,4.8,1.35,2.4,1.5,0.7,0.7,0.04,0.0,4.0,0.0,0.0,0.0,false,true,cinco
16,admin_ciencontabeis_tur,3.0,1.33333333333,0.333333333333,1.66666666667,0.9,0.75,15.0,8.1,11.4,1.75,1.1,0.42,0.03,0.0,3.66666666667,0.0,0.0,0.0,true,true,cinco
17,admin_ciencontabeis_tur,3.0,2.66666666667,0.0,0.333333333333,0.9,3.75,1.8,0.9,0.3,1.25,0.0,0.77,0.09,0.0,1.66666666667,0.0,0.0,0.0,false,true,quatro
18,admin_ciencontabeis_tur,3.0,0.0,0.0,1.0,0.9,4.5,10.8,7.65,5.7,0.25,0.1,0.35,0.01,0.0,3.33333333333,0.0,0.0,0.333333333333,true,true,quatro
19,admin_ciencontabeis_tur,3.0,1.33333333333,0.0,3.0,0.9,4.5,4.2,7.2,9.6,5.25,1.6,2.03,0.07,0.0,10.6666666667,0.0,0.0,0.333333333333,false,true,quatro
20,admin_ciencontabeis_tur,3.0,0.666666666667,0.0,2.66666666667,0.9,4.5,6.6,7.65,11.4,6.5,2.3,1.82,0.09,0.0,10.0,0.0,0.0,0.333333333333,true,true,quatro
21,admin_ciencontabeis_tur,3.0,3.66666666667,0.0,1.33333333333,5.4,6.75,6.0,5.4,1.2,3.0,0.9,0.98,0.09,0.0,3.33333333333,0.0,0.0,0.0,false,true,quatro
22,admin_ciencontabeis_tur,3.0,0.0,0.0,1.0,0.9,0.75,6.6,4.5,3.9,1.75,0.0,0.63,0.07,0.0,2.66666666667,0.0,0.0,0.0,true,true,quatro
